Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 2- 8-2017  2:17PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  MCE_CJG.ngd
output file: MCE_CJG_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P33,FC2,I,I/O,INPUT,,,,,,,,,
P34,GPIO_DTACK,I,I/O,INPUT,,,,,,,,,
P35,Reset_In,I,I/O,INPUT,,,,,,,,,
P36,FC1,I,I/O,INPUT,,,,,,,,,
P37,ROM_WE,O,I/O,OUTPUT,,,,,,,,,
P38,VCC,,VCCINT,,,,,,,,,,
P39,CPU_UDS,I,I/O,INPUT,,,,,,,,,
P40,CPU_LDS,I,I/O,INPUT,,,,,,,,,
P41,CPU_RW,I,I/O,INPUT,,,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,CPU_DTACK,O,I/O,OUTPUT,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,CPU_CLK,I/O,I/O,BIDIR,,,,,,,,,
P47,CPU_AS,I,I/O,INPUT,,,,,,,,,
P48,CPU_BR,O,I/O,OUTPUT,,,,,,,,,
P49,GND,,GND,,,,,,,,,,
P50,CPU_RESET,I/O,I/O,BIDIR,,,,,,,,,
P51,CPU_HALT,O,I/O,OUTPUT,,,,,,,,,
P52,CPU_BERR,O,I/O,OUTPUT,,,,,,,,,
P53,CPU_IPL1,O,I/O,OUTPUT,,,,,,,,,
P54,RAM_LB,O,I/O,OUTPUT,,,,,,,,,
P55,RAM_UB,O,I/O,OUTPUT,,,,,,,,,
P56,RAM_CE,O,I/O,OUTPUT,,,,,,,,,
P57,RAM_OE,O,I/O,OUTPUT,,,,,,,,,
P58,D<0>,I/O,I/O,BIDIR,,,,,,,,,
P59,TDO,,TDO,,,,,,,,,,
P60,GND,,GND,,,,,,,,,,
P61,D<2>,I/O,I/O,BIDIR,,,,,,,,,
P62,D<6>,I/O,I/O,BIDIR,,,,,,,,,
P63,D<4>,I/O,I/O,BIDIR,,,,,,,,,
P64,VCC,,VCCIO,,,,,,,,,,
P65,RAM_WE,O,I/O,OUTPUT,,,,,,,,,
P66,ROM_CE,O,I/O,OUTPUT,,,,,,,,,
P67,ROM_OE,O,I/O,OUTPUT,,,,,,,,,
P68,DUART_RW,O,I/O,OUTPUT,,,,,,,,,
P69,A2<1>,I,I/O,INPUT,,,,,,,,,
P70,A2<0>,I,I/O,INPUT,,,,,,,,,
P71,A23,I,I/O,INPUT,,,,,,,,,
P72,A2<2>,I,I/O,INPUT,,,,,,,,,
P73,VCC,,VCCINT,,,,,,,,,,
P74,DUART_IRQ,I,I/O/GSR,INPUT,,,,,,,,,
P75,DUART_RESET,O,I/O,OUTPUT,,,,,,,,,
P76,TIE,,I/O/GTS1,,,,,,,,,,
P77,DUART_IACK,O,I/O/GTS2,OUTPUT,,,,,,,,,
P78,VCC,,VCCINT,,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,DUART_DTACK,I,I/O,INPUT,,,,,,,,,
P81,TIE,,I/O,,,,,,,,,,
P82,DUART_CS,O,I/O,OUTPUT,,,,,,,,,
P83,D<1>,I/O,I/O,BIDIR,,,,,,,,,
P84,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


